kind	ann_date	user_id	answer	relation_type	pmid	concept_created	concept_updated	concept_1_id	concept_2_id
re	2016-05-24 06:42:40	364	52d80rv4t0h0g14gb83oamjfm8h9rz19zl1ubzku	g_d	9621534	2015-05-21 17:54:51	2015-05-21 17:54:51	59330	D001750
re	2016-05-24 06:44:12	364	zl4RlTGwZM9Ud3CCXpU2VZa7eQVnJj0MdbsRBMGy	g_d	9621534	2015-05-21 17:54:51	2015-05-21 17:54:51	59330	D005764
re	2016-05-24 06:46:56	364	zl4RlTGwZM9Ud3CCXpU2VZa7eQVnJj0MdbsRBMGy	g_d	11353896	2015-05-21 17:54:48	2015-05-21 17:54:48	5443	202200
re	2016-05-24 06:48:29	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	11353896	2015-05-21 17:54:48	2015-05-21 17:54:48	4158	202200
re	2016-05-24 06:49:55	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	11353896	2015-05-21 17:54:48	2015-05-21 17:54:48	4158	D020022
re	2016-05-24 06:50:59	364	52d80rv4t0h0g14gb83oamjfm8h9rz19zl1ubzku	g_d	11353896	2015-05-21 17:54:48	2015-05-21 17:54:48	4158	D009422
re	2016-05-24 06:51:33	364	52d80rv4t0h0g14gb83oamjfm8h9rz19zl1ubzku	g_d	11353896	2015-05-21 17:54:48	2015-05-21 17:54:48	4158	C536008
re	2016-05-24 06:54:27	364	7aqs9bklotxhbq3r5dcofvsskiefb1yn2nkt1y4a	g_d	11353896	2015-05-21 17:54:48	2015-05-21 17:54:48	4158	C536009
re	2016-05-24 06:54:49	364	7aqs9bklotxhbq3r5dcofvsskiefb1yn2nkt1y4a	g_d	11353896	2015-05-21 17:54:48	2015-05-21 17:54:48	4158	D004931
re	2016-05-24 07:21:25	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	D012021
re	2016-05-24 07:21:57	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	D020361
re	2016-05-24 07:22:17	364	52d80rv4t0h0g14gb83oamjfm8h9rz19zl1ubzku	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	C536008
re	2016-05-24 07:23:05	364	52d80rv4t0h0g14gb83oamjfm8h9rz19zl1ubzku	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	C536009
re	2016-05-24 07:23:19	364	52d80rv4t0h0g14gb83oamjfm8h9rz19zl1ubzku	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	D000309
re	2016-05-24 07:23:43	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	D009461
re	2016-05-24 07:23:57	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	D018754
re	2016-05-24 07:24:25	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	D025063
re	2016-05-24 07:24:44	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	D018908
re	2016-05-24 07:24:54	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	16970037	2015-05-21 17:54:44	2015-05-21 17:54:44	8086	D009133
re	2016-05-24 07:27:20	364	zl4RlTGwZM9Ud3CCXpU2VZa7eQVnJj0MdbsRBMGy	g_d	10068747	2015-05-21 17:54:40	2015-05-21 17:54:40	5443	D035583
re	2016-05-24 10:16:04	364	RdKIrcaEOnM4DRk25g5jAfeNC6HSpsFZaiIPqZer	g_d	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	D009384
re	2016-05-24 10:18:23	364	52d80rv4t0h0g14gb83oamjfm8h9rz19zl1ubzku	g_d	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	D009422
re	2016-05-24 10:18:59	364	RdKIrcaEOnM4DRk25g5jAfeNC6HSpsFZaiIPqZer	g_c	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	D009711
re	2016-05-24 10:19:45	364	7aqs9bklotxhbq3r5dcofvsskiefb1yn2nkt1y4a	g_d	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	C536008
re	2016-05-24 10:20:33	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	C536009
re	2016-05-24 10:20:44	364	52d80rv4t0h0g14gb83oamjfm8h9rz19zl1ubzku	g_d	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	D020734
re	2016-05-24 10:21:35	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	D009896
re	2016-05-24 10:22:06	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	D004931
re	2016-05-24 10:22:37	364	52d80rv4t0h0g14gb83oamjfm8h9rz19zl1ubzku	g_d	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	D000310
re	2016-05-24 10:22:59	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	19172511	2015-05-21 17:54:43	2015-05-21 17:54:43	8086	C535922
re	2016-05-24 12:10:05	2	a86ujdunjj2gt0yeyyl027pp4yqbabotvmu0flwt	g_d	9621534	2015-05-21 17:54:51	2015-05-21 17:54:51	59330	D001750
re	2016-05-24 12:10:51	2	zl4RlTGwZM9Ud3CCXpU2VZa7eQVnJj0MdbsRBMGy	g_d	9621534	2015-05-21 17:54:51	2015-05-21 17:54:51	59330	D005764
re	2016-05-24 12:15:14	364	zl4RlTGwZM9Ud3CCXpU2VZa7eQVnJj0MdbsRBMGy	g_d	10068747	2015-05-21 17:54:40	2015-05-21 17:54:40	5443	D001037
re	2016-05-24 12:16:44	364	zl4RlTGwZM9Ud3CCXpU2VZa7eQVnJj0MdbsRBMGy	g_d	7945119	2015-05-21 17:54:39	2015-05-21 17:54:39	5443	D004931
re	2016-05-24 12:17:43	364	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	11914417	2015-05-21 17:54:37	2015-05-21 17:54:37	8086	C536008
re	2016-05-24 14:37:13	340	4mzrh5ub3nla6b1ostx7qdparjl3lrd9o567ubif	c_d	8740696	2015-05-21 17:51:40	2015-05-21 17:51:40	D019793	D007634
re	2016-05-24 14:37:57	340	4mzrh5ub3nla6b1ostx7qdparjl3lrd9o567ubif	c_d	8740696	2015-05-21 17:51:40	2015-05-21 17:51:40	D019793	C536009
re	2016-05-24 14:38:35	340	a86ujdunjj2gt0yeyyl027pp4yqbabotvmu0flwt	g_d	7945119	2015-05-21 17:54:39	2015-05-21 17:54:39	5443	D004931
re	2016-05-24 14:39:17	340	a86ujdunjj2gt0yeyyl027pp4yqbabotvmu0flwt	g_d	7945119	2015-05-21 17:54:39	2015-05-21 17:54:39	5443	C536008
re	2016-05-24 14:39:45	340	a86ujdunjj2gt0yeyyl027pp4yqbabotvmu0flwt	g_d	7945119	2015-05-21 17:54:39	2015-05-21 17:54:39	5443	C536009
re	2016-05-24 14:40:42	340	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	14646395	2015-05-21 17:54:05	2015-05-21 17:54:05	8086	D000309
re	2016-05-24 14:41:12	340	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	14646395	2015-05-21 17:54:05	2015-05-21 17:54:05	8086	D008607
re	2016-05-24 14:41:29	340	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	14646395	2015-05-21 17:54:05	2015-05-21 17:54:05	8086	C536008
re	2016-05-24 14:41:44	340	04110gzdcxz8niuv83ev08ut7lv0xep4iym5sxm5	g_d	14646395	2015-05-21 17:54:05	2015-05-21 17:54:05	8086	C536009
re	2016-05-24 15:02:42	340	jilhvc5p2cy0atls8659a1fggjvvkmahwuspy2kr	c_d	16915903	2015-05-21 17:53:32	2015-05-21 17:53:32	D015242	D003318
re	2016-05-24 15:03:35	340	jilhvc5p2cy0atls8659a1fggjvvkmahwuspy2kr	c_d	16915903	2015-05-21 17:53:32	2015-05-21 17:53:32	D015242	C536009
re	2016-05-24 15:06:01	340	a86ujdunjj2gt0yeyyl027pp4yqbabotvmu0flwt	g_d	12793312	2015-05-21 17:54:33	2015-05-21 17:54:33	5443	D009422
re	2016-05-24 15:07:12	340	a86ujdunjj2gt0yeyyl027pp4yqbabotvmu0flwt	g_d	12793312	2015-05-21 17:54:33	2015-05-21 17:54:33	5443	C536008
re	2016-05-24 15:08:19	340	7aqs9bklotxhbq3r5dcofvsskiefb1yn2nkt1y4a	g_d	12793312	2015-05-21 17:54:33	2015-05-21 17:54:33	5443	C536009
re	2016-05-24 15:08:59	340	a86ujdunjj2gt0yeyyl027pp4yqbabotvmu0flwt	g_d	12793312	2015-05-21 17:54:33	2015-05-21 17:54:33	5443	D000309
re	2016-05-24 15:09:09	340	7aqs9bklotxhbq3r5dcofvsskiefb1yn2nkt1y4a	g_d	12793312	2015-05-21 17:54:33	2015-05-21 17:54:33	5443	D004931
re	2016-05-24 15:09:21	340	a86ujdunjj2gt0yeyyl027pp4yqbabotvmu0flwt	g_d	12793312	2015-05-21 17:54:33	2015-05-21 17:54:33	5443	D001342
