	concept_pair	pmid	reltype	counts	rand value	pair description	actual relationship	Type	Notes	Note Type	meta_path	directionality	meta_path_length
222	55768_x_D009069	24651605	g_d	1	446	N-glycanase 1 vs movement disorder	mutation in NGLY1 gene causes disease	0			Gene-Disease-Symptom	side-down	3
504	C014088_x_D024801	24113653	c_d	2	730	n-acetylglucosamine vs tauopathies	chemical post-translationally modifies a protein which may prevent taupathies	0			Drug-Disease	side	2
359	8086_x_D004941	23861206	g_d	2	280	AAAS gene vs esophageal achalasia	gene causes disease with this symptom ergo causes this disease	0	identifier is for esophogitis NOT esophogeal achalasia	2	Gene-Disease-Symptom	side-down	3
695	C403564_x_D064420	22809627	c_d	4	475	aspartic acid vs cytotoxicity	aspartic acid taken out of context of mutation	2	identifier is for esophogitis NOT esophogeal achalasia	2	concept wrong	concept wrong	-1
307	8086_x_D000168	22538409	g_d	1	343	AAAS gene vs dermatological abnormalities	gene mutation causes disease of which includes the symptom	0			Gene-Disease-Symptom	side-down	3
342	8086_x_D003711	20931227	g_d	4	826	AAAS gene vs sensory demyelinating neuropathy	mutation in AAAS causes Triple A of which demyelination is a symptom	0			Gene-Disease-Symptom	side-down	3
907	D003981_x_C535739	19396570	c_d	3	664	diazoxide vs phosphomannomutase deficiency	diazoxide treats hyperinsulinaemic hypoclycaemia a symptom of phosphomannomutase deficiency	0			Drug-Symptom-Disease	side-up	3
382	8086_x_D009422	19172511	g_d	2	630	AAAS gene vs neurologic abnormalities	AAAS gene mutations causes Triple A syndrome which has symptom neurologic abnormalities	0			Gene-Disease-Symptom	side-down	3
263	8086_x_C535922	19172511	g_d	4	130	AAAS gene vs opthalmic abnormalisities	AAAS gene mutations causes Triple A syndrome which has symptom opthalamic abnormalities	0			Gene-Disease-Symptom	side-down	3
1034	D006493_x_D013927	19101627	c_d	4	119	heparin vs inconstant thrombosis	heparin can substitute mannose which treats CDG-Ib of which enteropathy is a symptom	0			Drug-Drug-Disease-Symptom	side-side-down	4
1029	D006493_x_D006946	19101627	c_d	5	261	heparin vs hyperinsulism	heparin can substitute mannose which treats CDG-Ib of which hyperinsulism is a symptom	0			Drug-Drug-Disease-Symptom	side-side-down	4
1035	D006493_x_D015746	18285818	c_d	4	739	Heparin vs abdominal pain	heparin is used to treat/manage CDGIb which symptoms include abdominal pain	0			Drug-Disease-Symptom	side-down	3
1023	D006493_x_C535740	18285818	c_d	2	293	Heparin vs congenital disorder of glycosylation type Ib	heparin is used to treat/manage CDGIb	0			Drug-Disease	side	2
1256	D012402_x_D010300	17079513	c_d	1	445	rotenone vs parkinson disease	rotenone linked to PD	0			Drug-Disease	side	2
397	8086_x_D012021	16970037	g_d	3	366	AAAS gene vs hyperreflexia	gene mutation causes disease of which includes the symptom	0			Gene-Disease-Symptom	side-down	3
370	8086_x_D009133	16970037	g_d	3	714	AAAS gene vs muscular atrophy	gene mutation causes disease of which includes the symptom	0			Gene-Disease-Symptom	side-down	3
293	8086_x_C562827	16970037	g_d	3	562	AAAS gene vs alacrima	gene mutation causes disease of which includes the symptom	0			Gene-Disease-Symptom	side-down	3
1366	D015242_x_D003318	16915903	c_d	4	131	ofloxacin vs corneal opacity	oflaxacin treats alacrima of which corneal opacity is a symptom	0			Drug-Disease-Symptom	side-down	3
1364	D015242_x_C536009	16915903	c_d	5	46	ofloxacin vs congenital alacrima (Triple A syndrome)	oflaxacin treats alacrima	0	"identifier is for triple A, not alacrima"	2	Drug-Disease	side	2
614	C057651_x_D018981	15669673	c_d	1	293	transferrin vs congenital disorders of glycosylation	post-translational modification of this gene is associated with the disease (and therefore levels of PTM protein used as a marker)	0			Gene-Disease	side	2
968	D005947_x_D000419	1397717	c_d	3	287	glucose vs albuminuria	glucose increases glycosylation of albumin which increases its permeability leading to albuminuria (therefore glucose increases risk of albuminuria)	0			Drug-Disease	side	2
758	D000324_x_C536009	11907967	c_d	1	479	ACTH vs alacrima (triple A syndrome)	ACTH levels were high in Triple A syndrome patient (altered gene expression associated with disease)	0			Gene-Disease-Disease-Symptom	side-up-down	4
788	D000431_x_C566005	11766638	c_d	1	986	alcohol vs ASH	"alcohol causes ASH (alcoholic steatohepatitis, but identifier is for cardiac stenosis)"	0	identifier is wrong	2	Drug-Disease	side	2
71	4158_x_D004931	11084394	g_d	5	135	ACTH receptor vs achalasia	ACTH receptors are NOT mutated in adrenal insufficiency in Triple A syndrome of which achalasia is a symptom (no relation)	0	states no relation	AC	Gene-Disease-Disease-Disease	side-up-down	4
66	4158_x_C536008	11084394	g_d	5	829	ACTH receptor vs Triple A syndrome	"no relation, absence of mutation distinguishes subdisease of Triple A syndrome from other related disease"	0	states no relation	AD	Gene-Disease-Disease	side-up	3
895	D003348_x_D003680	23012188	c_d	4	46	cortisone vs dysphagia	cortisone treats adrenal insufficiency which is co-morbid with achalasia of which dysphagia is a symptom	A			Drug-Disease-Disease-Disease-Symptom	side-up-down-down	5
