	SUBJECT_NAME	PREDICATE	OBJECT_NAME	PMID	SUBJECT_CUI	SUBJECT_SEMTYPE	OBJECT_CUI	OBJECT_SEMTYPE	PREDICATION_ID	SENTENCE_ID	SUBJECT_NOVELTY	OBJECT_NOVELTY
0	Membrane	LOCATION_OF	Cytochromes b	3305576	C0596901	celc	C0010744	aapp	7613702	15005034	1	1
1	granulocyte	PART_OF	Human	3305576	C0018183	cell	C0020114	humn	7613765	15005153	1	1
2	granulocyte	LOCATION_OF	Cytochromes b	3305576	C0018183	cell	C0010744	aapp	7613770	15005153	1	1
3	Tissue membrane	LOCATION_OF	Cytochromes b	3305576	C0025255	tisu	C0010744	aapp	7613870	15005359	1	1
4	Cytochromes b	COEXISTS_WITH	octyl glucoside	3305576	C0010744	aapp	C0283283	carb	7613881	15005359	1	1
5	Sepharose 4B	INTERACTS_WITH	Cytochromes b	3305576	C0036682	bodm	C0010744	aapp	7613925	15005461	1	1
6	Sedimentation procedure	METHOD_OF	purification	3305576	C0597428	lbpr	C0243114	lbpr	7614023	15005571	1	1
7	Therapeutic procedure	USES	Peptides	3305576	C0087111	topp	C0030956	aapp	7614186	15005734	0	1
8	Antibodies	STIMULATES	Cleansing preparations	3305576	C0003241	aapp	C0353043	phsu	7614323	15006029	1	1
9	Granulomatous Disease, Chronic	PROCESS_OF	Patients	3305576	C0018203	dsyn	C0030705	humn	7614375	15006095	1	0
10	neutrophil	PART_OF	Human	3305576	C0027950	cell	C0020114	humn	7614502	15006181	1	1
11	neutrophil	LOCATION_OF	Superoxides	3305576	C0027950	cell	C0038836	elii	7614507	15006181	1	1
12	Cytochromes b	INTERACTS_WITH	Superoxides	3305576	C0010744	aapp	C0038836	elii	7614513	15006181	1	1
13	Esophagus	LOCATION_OF	Alacrima	3014426	C0014876	bpoc	C0344505	cgab	9096342	17401974	1	1
14	Esophagus	LOCATION_OF	Achalasia	3014426	C0014876	bpoc	C1321756	fndg	9096346	17401974	1	1
15	Alacrima	COEXISTS_WITH	Multisystem disorder	4075537	C0344505	cgab	C0559758	dsyn	11447727	21333667	1	0
16	Achalasia	COEXISTS_WITH	Multisystem disorder	4075537	C1321756	fndg	C0559758	dsyn	11447735	21333667	1	0
17	Degenerative abnormality	CAUSES	Alacrima	4075537	C0011164	patf	C0344505	cgab	11447877	21333893	1	1
18	Degenerative abnormality	PROCESS_OF	Patients	4075537	C0011164	patf	C0030705	humn	11448004	21334113	1	0
19	Myopathies, Nemaline	PROCESS_OF	Infant, Newborn	2854735	C0206157	dsyn	C0021289	humn	11534874	21476195	1	1
20	Indifferent mood	PROCESS_OF	Infant	2854735	C0085632	sosy	C0021270	humn	11534921	21476221	1	1
21	Sucking	PROCESS_OF	Infant	2854735	C0233927	fndg	C0021270	humn	11534925	21476221	1	1
22	Reflex, Absent	PROCESS_OF	Infant	2854735	C0234146	fndg	C0021270	humn	11534932	21476221	1	1
23	Neonatal hypotonia	PROCESS_OF	Infant	2854735	C0270971	dsyn	C0021270	humn	11534938	21476221	1	1
24	Lung	LOCATION_OF	INFECTION, RECURRENT	2854735	C0024109	bpoc	C0239998	fndg	11535076	21476404	1	1
25	Velopharyngeal Insufficiency	AFFECTS	nerve supply	3652558	C0042454	anab	C0021516	ortf	13134085	24090410	1	1
26	Amyloid beta-Protein Precursor	AFFECTS	Entire nerve	2510719	C0085151	aapp	C1280541	bpoc	13867804	25285080	1	1
27	Epidermal Growth Factor	AFFECTS	Entire nerve	2510719	C0242275	aapp	C1280541	bpoc	13867808	25285080	1	1
28	Cells	LOCATION_OF	Amyloid beta-Protein Precursor	2510719	C0007634	cell	C0085151	aapp	13867818	25285111	1	1
29	Therapeutic procedure	USES	Nerve Growth Factors	2510719	C0087111	topp	C0027754	aapp	13867833	25285132	0	1
30	Concanavalin A	ISA	Lectin	2510719	C0009630	aapp	C0023206	aapp	13867860	25285172	1	1
31	Concanavalin A	PART_OF	Lectin	2510719	C0009630	bacs	C0023206	aapp	13867863	25285172	1	1
32	Amyloid beta-Protein Precursor	INTERACTS_WITH	Concanavalin A	2510719	C0085151	aapp	C0009630	aapp	13867866	25285172	1	1
33	Nerve Growth Factors	PRODUCES	Amyloid beta-Protein Precursor	2510719	C0027754	gngm	C0085151	aapp	13867881	25285205	1	1
34	Detection	TREATS	Alcohol abuse	7496135	C1511790	topp	C0085762	mobd	15201757	27489077	1	1
35	Physiologic States	PROCESS_OF	glycosylation	7496135	C1373236	phsf	C0017982	npop	15201801	27489146	1	1
36	Achalasia	PROCESS_OF	Child	8924656	C1321756	fndg	C0008059	humn	15545851	28045100	1	1
37	Cells	PART_OF	lymph nodes	1299347	C0007634	cell	C0024204	bpoc	16401998	29422916	1	1
38	Glycopeptides	PART_OF	Cells	1299347	C0017953	aapp	C0007634	cell	16402011	29422916	1	1
39	Lymphoproliferative Disorders	PROCESS_OF	Mus	1299347	C0024314	neop	C0026809	mamm	16402075	29423007	1	1
40	Cells	PART_OF	lymph nodes	1299347	C0007634	cell	C0024204	bpoc	16402115	29423090	1	1
41	TRYPSIN	PRODUCES	Membrane Proteins	1299347	C0041236	gngm	C0025252	aapp	16402155	29423149	1	1
42	Cells	LOCATION_OF	lentil lectin	1299347	C0007634	cell	C0064755	aapp	16402587	29423733	1	1
43	Cells	PART_OF	Mus	1299347	C0007634	cell	C0026809	mamm	16402978	29424271	1	1
44	Peptides	INTERACTS_WITH	Major Histocompatibility Complex	8046350	C0030956	aapp	C0024518	aapp	17903422	31822649	1	1
45	Carbohydrates	COEXISTS_WITH	Hydroxylysine	8046350	C0007004	carb	C0020366	aapp	17903675	31823005	1	1
46	Alacrima	LOCATION_OF	Syndrome	1659963	C0344505	cgab	C0039082	dsyn	19153283	33817817	1	0
47	Achalasia	PROCESS_OF	Child	1659963	C1321756	fndg	C0008059	humn	19153445	33817987	1	1
48	Cessation of life	PROCESS_OF	Child	1659963	C0011065	orgf	C0008059	humn	19153892	33818825	1	1
49	Cells	LOCATION_OF	Immune Sera	7831797	C0007634	cell	C0020960	aapp	19234379	33950063	1	1
50	Virion	LOCATION_OF	Gold Colloid	7831797	C0042760	celc	C0009359	inch	19234395	33950063	1	1
51	Virion	LOCATION_OF	Immune Sera	7831797	C0042760	celc	C0020960	aapp	19234397	33950063	1	1
52	Cells	LOCATION_OF	Gold Colloid	7831797	C0007634	cell	C0009359	inch	19234407	33950063	1	1
53	Cistern	LOCATION_OF	Cytoplasm	7831797	C1185718	bsoj	C0010834	celc	19234656	33950473	1	1
54	sural	AUGMENTS	Antibody Formation	7831797	C0626053	phsu	C0003261	celf	19234732	33950596	1	1
