	cpmid	n	avg_accuracy	max_accuracy	median_accuracy	std_error
0	10429369_D009711_x_D018981	1	0.86	0.9	0.9	0.024494897427831768
1	10429369_D009711_x_D018981	2	0.82	1.0	0.9	0.07348469228349534
2	10429369_D009711_x_D018981	3	1.0	1.0	1.0	0.0
3	10429369_D009711_x_D018981	4	1.0	1.0	1.0	0.0
4	10429369_D009711_x_D018981	5	1.0	1.0	1.0	0.0
5	10429369_D009711_x_D018981	6	1.0	1.0	1.0	0.0
6	10429369_D009711_x_D018981	7	1.0	1.0	1.0	0.0
7	10429369_D009711_x_D018981	8	1.0	1.0	1.0	0.0
8	10429369_D009711_x_D018981	9	1.0	1.0	1.0	0.0
9	10429369_D009711_x_D018981	10	1.0	1.0	1.0	0.0
10	10429369_D009711_x_D018981	11	1.0	1.0	1.0	0.0
11	10429369_D009711_x_D018981	12	1.0	1.0	1.0	0.0
12	10429369_D009711_x_D018981	13	1.0	1.0	1.0	0.0
13	10429369_D009711_x_D018981	14	1.0	1.0	1.0	0.0
14	10429369_D009711_x_D018981	15	1.0	1.0	1.0	0.0
15	10858229_D000596_x_D004403	1	0.8200000000000001	1.0	0.8	0.05830951894845302
16	10858229_D000596_x_D004403	2	0.8	1.0	0.7	0.0632455532033676
17	10858229_D000596_x_D004403	3	0.9	1.0	0.9	0.04472135954999577
18	10858229_D000596_x_D004403	4	0.96	1.0	1.0	0.03999999999999999
19	10858229_D000596_x_D004403	5	0.9400000000000001	1.0	1.0	0.039999999999999994
20	10858229_D000596_x_D004403	6	1.0	1.0	1.0	0.0
21	10858229_D000596_x_D004403	7	1.0	1.0	1.0	0.0
22	10858229_D000596_x_D004403	8	1.0	1.0	1.0	0.0
23	10858229_D000596_x_D004403	9	1.0	1.0	1.0	0.0
24	10858229_D000596_x_D004403	10	1.0	1.0	1.0	0.0
25	10858229_D000596_x_D004403	11	1.0	1.0	1.0	0.0
26	10858229_D000596_x_D004403	12	1.0	1.0	1.0	0.0
27	10858229_D000596_x_D004403	13	1.0	1.0	1.0	0.0
28	10858229_D000596_x_D004403	14	1.0	1.0	1.0	0.0
29	11018092_D007854_x_D009369	1	0.8400000000000001	1.0	0.8	0.06782329983125268
30	11018092_D007854_x_D009369	2	0.8400000000000001	1.0	0.9	0.06000000000000001
31	11018092_D007854_x_D009369	3	0.9800000000000001	1.0	1.0	0.020000000000000004
32	11018092_D007854_x_D009369	4	1.0	1.0	1.0	0.0
33	11018092_D007854_x_D009369	5	1.0	1.0	1.0	0.0
34	11018092_D007854_x_D009369	6	1.0	1.0	1.0	0.0
35	11018092_D007854_x_D009369	7	1.0	1.0	1.0	0.0
36	11018092_D007854_x_D009369	8	1.0	1.0	1.0	0.0
37	11018092_D007854_x_D009369	9	1.0	1.0	1.0	0.0
38	11018092_D007854_x_D009369	10	1.0	1.0	1.0	0.0
39	11018092_D007854_x_D009369	11	1.0	1.0	1.0	0.0
40	11018092_D007854_x_D009369	12	1.0	1.0	1.0	0.0
41	11018092_D007854_x_D009369	13	1.0	1.0	1.0	0.0
42	11018092_D007854_x_D009369	14	1.0	1.0	1.0	0.0
43	11018092_D007854_x_D009369	15	1.0	1.0	1.0	0.0
44	11084394_5443_x_C536009	1	0.27499999999999997	0.6	0.2	0.1181453906563152
45	11084394_5443_x_C536009	2	0.3	0.4	0.3	0.054772255750516606
46	11084394_5443_x_C536009	3	0.26	0.3	0.3	0.024494897427831775
47	11084394_5443_x_C536009	4	0.38	0.7	0.3	0.08602325267042625
48	11084394_5443_x_C536009	5	0.28	0.4	0.2	0.048989794855663564
49	11084394_5443_x_C536009	6	0.5	0.7	0.6	0.10488088481701513
50	11084394_5443_x_C536009	7	0.36	0.6	0.3	0.06782329983125267
51	11084394_5443_x_C536009	8	0.54	0.7	0.6	0.06782329983125267
52	11084394_5443_x_C536009	9	0.5	0.7	0.5	0.10954451150103321
53	11084394_5443_x_C536009	10	0.45999999999999996	0.7	0.4	0.08124038404635961
54	11084394_5443_x_C536009	11	0.52	0.6	0.5	0.037416573867739396
55	11084394_5443_x_C536009	12	0.43999999999999995	0.8	0.4	0.09273618495495704
56	11084394_5443_x_C536009	13	0.48	0.7	0.4	0.07348469228349534
57	11084394_5443_x_C536009	14	0.5199999999999999	0.7	0.5	0.06633249580710798
58	11084394_5443_x_C536009	15	0.5	0.7	0.5	0.08366600265340754
59	11084394_5443_x_D000309	1	0.21999999999999997	0.3	0.2	0.0374165738677394
60	11084394_5443_x_D000309	2	0.24	0.4	0.2	0.05099019513592784
61	11084394_5443_x_D000309	3	0.2	0.3	0.2	0.03162277660168379
62	11084394_5443_x_D000309	4	0.22000000000000003	0.4	0.2	0.048989794855663564
63	11084394_5443_x_D000309	5	0.15	0.2	0.15000000000000002	0.028867513459481294
64	11084394_5443_x_D000309	6	0.19999999999999998	0.3	0.2	0.05773502691896257
65	11084394_5443_x_D000309	7	0.16666666666666666	0.2	0.2	0.03333333333333334
66	11084394_5443_x_D000309	8	0.16	0.2	0.2	0.024494897427831782
67	11084394_5443_x_D000309	9	0.1	0.1	0.1	0.0
68	11084394_5443_x_D000309	10	0.16	0.2	0.2	0.024494897427831782
69	11084394_5443_x_D000309	11	0.13333333333333333	0.2	0.1	0.03333333333333334
70	11084394_5443_x_D000309	12	0.2	0.2	0.2	
71	11308015_D011134_x_D018981	1	0.9199999999999999	1.0	0.9	0.019999999999999997
72	11308015_D011134_x_D018981	2	1.0	1.0	1.0	0.0
73	11308015_D011134_x_D018981	3	1.0	1.0	1.0	0.0
74	11308015_D011134_x_D018981	4	1.0	1.0	1.0	0.0
75	11308015_D011134_x_D018981	5	1.0	1.0	1.0	0.0
76	11308015_D011134_x_D018981	6	1.0	1.0	1.0	0.0
77	11308015_D011134_x_D018981	7	1.0	1.0	1.0	0.0
78	11308015_D011134_x_D018981	8	1.0	1.0	1.0	0.0
79	11308015_D011134_x_D018981	9	1.0	1.0	1.0	0.0
80	11308015_D011134_x_D018981	10	1.0	1.0	1.0	0.0
81	11308015_D011134_x_D018981	11	1.0	1.0	1.0	0.0
82	11308015_D011134_x_D018981	12	1.0	1.0	1.0	0.0
83	11308015_D011134_x_D018981	13	1.0	1.0	1.0	0.0
84	11308015_D011134_x_D018981	14	1.0	1.0	1.0	0.0
85	11308015_D011134_x_D018981	15	1.0	1.0	1.0	0.0
86	11353896_4158_x_D004931	1	0.42000000000000004	0.6	0.4	0.04898979485566356
87	11353896_4158_x_D004931	2	0.41999999999999993	0.5	0.5	0.058309518948452994
88	11353896_4158_x_D004931	3	0.45999999999999996	0.7	0.4	0.08124038404635961
89	11353896_4158_x_D004931	4	0.58	0.8	0.6	0.08602325267042625
90	11353896_4158_x_D004931	5	0.54	0.7	0.5	0.05099019513592784
91	11353896_4158_x_D004931	6	0.6599999999999999	0.8	0.7	0.050990195135927834
92	11353896_4158_x_D004931	7	0.7	0.9	0.7	0.07071067811865477
93	11353896_4158_x_D004931	8	0.74	1.0	0.7	0.07483314773547883
