	pmid	refid1	refid2	reltype	concept_pair	user_count	evtype	relation_count	test_completions	true_responses	response_ratio	refid1_type	refid2_type
0	1299347	C095810	D008232	c_d	C095810_x_D008232	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
2	1299347	D005944	D008232	c_d	D005944_x_D008232	15	c_1_broken	8	0.0	15	0.5333333333333333	c	d
6	1299347	D006020	D008232	c_d	D006020_x_D008232	16	c_1_broken	14	0.0	16	0.875	c	d
9	1299347	D014361	D008232	c_d	D014361_x_D008232	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
15	1325164	5443	202200	g_d	5443_x_202200	15	gene has no relation to disease	4	0.0	15	0.26666666666666666	g	d
21	1325164	5443	C536008	g_d	5443_x_C536008	15	gene relates to disease	6	0.0	15	0.4	g	d
23	1325164	5443	C536009	g_d	5443_x_C536009	16	gene has no relation to disease	8	0.0	16	0.5	g	d
27	1325164	5443	D000224	g_d	5443_x_D000224	15	gene has no relation to disease	6	0.0	15	0.4	g	d
31	1325164	5443	D004931	g_d	5443_x_D004931	15	gene has no relation to disease	8	0.0	15	0.5333333333333333	g	d
34	1325164	5443	D035583	g_d	5443_x_D035583	16	c_2_broken	7	1.0	15	0.4666666666666667	g	d
37	1325164	5443	D052439	g_d	5443_x_D052439	15	c_2_broken	6	1.0	14	0.42857142857142855	g	d
48	1659963	5443	C536008	g_d	5443_x_C536008	15	gene relates to disease	9	1.0	14	0.6428571428571429	g	d
51	1659963	5443	C536009	g_d	5443_x_C536009	15	gene relates to disease	9	1.0	14	0.6428571428571429	g	d
53	1659963	5443	C536928	g_d	5443_x_C536928	15	c_2_broken	12	1.0	14	0.8571428571428571	g	d
57	1659963	5443	D004931	g_d	5443_x_D004931	15	gene relates to disease	10	1.0	14	0.7142857142857143	g	d
62	1659963	5443	D009422	g_d	5443_x_D009422	19	gene relates to disease	7	1.0	18	0.3888888888888889	g	d
63	1815166	6651	C536289	g_d	6651_x_C536289	15	c_1_broken	14	0.0	15	0.9333333333333332	g	d
65	1815166	D019793	C536289	c_d	D019793_x_C536289	15	c_1_broken	9	0.0	15	0.6	c	d
68	1815166	D019793	D000544	c_d	D019793_x_D000544	16	c_1_broken	12	0.0	16	0.75	c	d
