	pmid	refid1	refid2	reltype	concept_pair	user_count	evtype	relation_count	test_completions	true_responses	response_ratio	refid1_type	refid2_type	broad_rel	cp_broken	no_rel	spec_rel	total_pmids
244	12717251	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d	0.0	3.0	0.0	33.0	36.0
774	22584989	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d	0.0	3.0	0.0	33.0	36.0
717	22000320	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	3.0	0.0	33.0	36.0
959	25781531	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d	0.0	3.0	0.0	33.0	36.0
801	23056690	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	3.0	0.0	33.0	36.0
273	14646395	8086	C536008	g_d	8086_x_C536008	24	gene mutation is/may be associated with disease	21	1.0	23	0.9130434782608696	g	d	0.0	3.0	0.0	33.0	36.0
438	18172684	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d	0.0	3.0	0.0	33.0	36.0
202	12429595	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	3.0	0.0	33.0	36.0
607	20931227	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	3.0	0.0	33.0	36.0
526	19322026	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	10	2.0	13	0.7692307692307693	g	d	0.0	3.0	0.0	33.0	36.0
469	18615337	8086	C536008	g_d	8086_x_C536008	18	gene mutation is/may be associated with disease	16	0.0	18	0.8888888888888888	g	d	0.0	3.0	0.0	33.0	36.0
593	20499090	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d	0.0	3.0	0.0	33.0	36.0
548	20051279	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	15	1.0	15	1.0	g	d	0.0	3.0	0.0	33.0	36.0
316	16264411	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d	0.0	3.0	0.0	33.0	36.0
854	23861206	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	0.0	3.0	0.0	33.0	36.0
565	20200814	8086	C536008	g_d	8086_x_C536008	15	c_2_broken	8	0.0	15	0.5333333333333333	g	d	0.0	3.0	0.0	33.0	36.0
821	23327820	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	0.0	3.0	0.0	33.0	36.0
371	16970037	8086	C536008	g_d	8086_x_C536008	26	gene mutation is/may be associated with disease	22	0.0	26	0.8461538461538461	g	d	0.0	3.0	0.0	33.0	36.0
167	11914417	8086	C536008	g_d	8086_x_C536008	23	gene mutation is/may be associated with disease	22	1.0	22	1.0	g	d	0.0	3.0	0.0	33.0	36.0
306	16098009	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d	0.0	3.0	0.0	33.0	36.0
341	16609705	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	0.0	3.0	0.0	33.0	36.0
660	21626165	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d	0.0	3.0	0.0	33.0	36.0
417	17880786	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	3.0	0.0	33.0	36.0
227	12548737	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d	0.0	3.0	0.0	33.0	36.0
490	19078797	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	0.0	3.0	0.0	33.0	36.0
664	21656342	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d	0.0	3.0	0.0	33.0	36.0
649	21565631	8086	C536008	g_d	8086_x_C536008	15	c_2_broken	8	0.0	15	0.5333333333333333	g	d	0.0	3.0	0.0	33.0	36.0
443	18175081	8086	C536008	g_d	8086_x_C536008	18	gene mutation is/may be associated with disease	16	0.0	18	0.8888888888888888	g	d	0.0	3.0	0.0	33.0	36.0
697	21744492	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	6	0.0	15	0.4	g	d	0.0	3.0	0.0	33.0	36.0
357	16938764	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	3.0	0.0	33.0	36.0
679	21686524	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d	0.0	3.0	0.0	33.0	36.0
220	12530689	8086	C536008	g_d	8086_x_C536008	20	gene mutation is/may be associated with disease	19	0.0	20	0.95	g	d	0.0	3.0	0.0	33.0	36.0
